Author,Title,Orginal Author,Translator,Editor,Language,No of pages,Publisher,Year of Published,Category,Subject,Price,ISBN,Book format
Translation,6.மே தின வரலாறு,அலெக்ஸாந்தர் டிராச்டென்பர்க்,தொ.மு.சி . ரகுநாதன்,-,தமிழ்,-,நியூசெஞ்சுரி புக் ஹவுஸ்,2018,"மொழிபெயர்ப்பு,வரலாறு",மார்க்சியம்,40,-,Paperback
Translation,7.தாய் (கவிதா பப்ளிகேஷன்),மக்ஸிம் கார்க்கி,தொ.மு.சி . ரகுநாதன்,-,தமிழ்,608,கவிதா பப்ளிகேஷன்,2017,"நாவல்,மொழிபெயர்ப்பு",மார்க்சியம்,500,-,Paperback
Translation,8.தாய் (தோழமை வெளியீடு,மக்ஸிம் கார்க்கி,தொ.மு.சி . ரகுநாதன்,-,தமிழ்,536,தோழமை வெளியீடு,2016,"நாவல்,மொழிபெயர்ப்பு",மார்க்சியம்,200,978938039532,Paperback
"""",9.பஞ்சும் பசியும்,-,-,-,தமிழ்,208,பாரதி புத்தகாலயம்,2016,நாவல்,பிற,200,-,Paperback
"""",10.புதுமைப்பித்தன் வரலாறு,-,-,ஆ. இரா. வேங்கடாசலபதி,தமிழ்,244,காலச்சுவடு,2016,வாழ்க்கை வரலாறு,இலக்கியம்,295,9789352440054,Paperback
"""",11.பாரதி காலமும் கருத்தும் (கௌரா),-,-,-,தமிழ்,432,கௌரா பதிப்பகக் குழுமம்,2015,"கட்டுரை,வரலாறு",-,450,-,Paperback
Translation,12.தாய் உலகப் புகழ்பெற்ற காவியம்,மக்ஸிம் கார்க்கி,தொ.மு.சி . ரகுநாதன்,-,தமிழ்,600,ஸ்ரீ செண்பகா பதிப்பகம்,2012,கட்டுரை,-,350,-,Paperback
"""",13.சேற்றில் மலர்ந்த செந்தாமரை (நியூ செஞ்சுரி புக் ஹவுஸ்),-,-,-,தமிழ்,118,நியூசெஞ்சுரி புக் ஹவுஸ்,2012,சிறுகதை,-,120,-,Paperback
"""",14.பாரதி காலமும் கருத்தும்,-,-,-,தமிழ்,406,நியூசெஞ்சுரி புக் ஹவுஸ்,2008,கட்டுரை,-,570,9788123412252,Paperback
"""",15.புதுமைப்பித்தன் வரலாறு (நியூ செஞ்சுரி புக் ஹவுஸ்),-,-,-,தமிழ்,263,நியூசெஞ்சுரி புக் ஹவுஸ்,2006,வாழ்க்கை வரலாறு,-,110,9788123400150,Paperback
Translation,16.புதுமைப்பித்தன் கவிதைகள்,-,-,தொ.மு.சி . ரகுநாதன்,தமிழ்,65,நியூசெஞ்சுரி புக் ஹவுஸ்,2005,கவிதை,-,40,9788123409955,Paperback
"""",17.பாரதி காலமும் கருத்தும் (த வ து),-,-,-,தமிழ்,-,தமிழ் வளர்ச்சித் துறை,-,கட்டுரை,-,270,-,Paperback
"""",18.கன்னிகா (கௌரா பதிப்பகக் குழுமம்),-,-,-,தமிழ்,160,கௌரா பதிப்பகக் குழுமம்,-,சிறுகதை,-,40,-,Paperback
Translation,19தாய் (கௌரா பதிப்பகக் குழுமம்),-,தொ.மு.சி . ரகுநாதன்,-,தமிழ்,580,கௌரா பதிப்பகக் குழுமம்,-,"நாவல்,மொழிபெயர்ப்பு",-,580,-,-
"""",20.புதுமைப்பித்தன் வரலாறு (கௌரா பதிப்பகக் குழுமம்),-,-,-,தமிழ்,224,கௌரா பதிப்பகக் குழுமம்,-,வாழ்க்கை வரலாறு,-,120,-,Paperback
"""",21.புதுமைப்பித்தன் கதைகள் சில விமர்சனங்களும் விஷமத்தனங்களும்,-,-,-,தமிழ்,576,கௌரா பதிப்பகக் குழுமம்,-,கட்டுரை,-,550,9789387597686,Hardcover
"""",22.பாரதி காலமும் கருத்தும் (ஸ்ரீ செண்பகா பதிப்பகம்),-,-,-,தமிழ்,-,ஸ்ரீ செண்பகா பதிப்பகம்,-,கட்டுரை,-,280,-,Paperback
"""",23.பாரதியும் ஷெல்லியும்,-,-,-,தமிழ்,310,நியூசெஞ்சுரி புக் ஹவுஸ்,-,"இலக்கியம்,அதிபுனைவு",-,290,-,Paperback
"""",24.இலக்கிய நேர்மை - ரகுநாதன் கட்டுரைகள்,-,-,இளசை மணியன்,தமிழ்,-,நியூசெஞ்சுரி புக் ஹவுஸ்,-,நியூசெஞ்சுரி புக் ஹவுஸ்,இலக்கியம்,150,-,Paperback
"""",25.புதுமைப்பித்தன் கதைகள் சில விமர்சனங்களும் விஷமத்தனங்களும் (நியூ செஞ்சுரி புக் ஹவுஸ்,-,-,-,தமிழ்,-,நியூசெஞ்சுரி புக் ஹவுஸ்,-,கட்டுரை,-,168,-,Paperback
"""",26.பஞ்சும் பசியும் (நியூ செஞ்சுரி புக் ஹவுஸ்,-,-,-,தமிழ்,-,நியூசெஞ்சுரி புக் ஹவுஸ்,-,நாவல்,-,110,-,Paperback
"""",27.மருது பாண்டியன்,-,-,-,தமிழ்,-,அறிவுப் பதிப்பகம்,-,நாடகம்,-,85,-,Paperback
"""",28.தொ. மு. சி. ரகுநாதன் படைப்புகள்,-,-,-,தமிழ்,520,தமிழ்க் குடிஅரசுப் பதிப்பகம்,-,நாவல்,-,260,-,Paperback
Translation,29.தாய் (நியூ செஞ்சுரி புக் ஹவுஸ்),-,தொ.மு.சி . ரகுநாதன்,-,தமிழ்,-,நியூசெஞ்சுரி புக் ஹவுஸ்,-,"நாவல்,மொழிபெயர்ப்பு ",மார்க்சியம்,350,-,Paperback
